reviewer,publication,score,fresh_rotten,review_text
Mark Kennedy,Associated Press,3/4,fresh,"With a foot in the past, one in the future and one on the gas, “Fast X” is pure popcorn lunacy. Was that too many feet? Oh, excuse us, you wanted logic?"
Tom Beasley,The Digital Fix,4/5,fresh,"Fast X uses its straight-faced tone as a cudgel, battering the audience into comedic submission and almost daring you to take it seriously, even for a second. No one on screen is laughing, and that just makes it funnier."
Jake Cole,Little White Lies,3/5,fresh,The most ridiculous Fast and Furious film yet.
Katie Rife,Polygon,NA,rotten,"Fast X suffers from the same condition as latter-day MCU movies, where it’s so laden with internal mythology that it feels more like homework than popcorn entertainment."
Cary Darling,Houston Chronicle,3.5/5,fresh,"""Transporter"" director Louis Leterrier... puts his pedal to the metal, keeping things moving so quickly — bodies and vehicles are perpetually in motion, drivin', fightin', explodin' or dyin' — that there's little time to worry about how far-fetched it is."
Michael Phillips,Chicago Tribune,2/4,rotten,Outlandish mayhem needs better visual stylists than Leterrier.
Moira MacDonald,Seattle Times,3/4,fresh,"This movie is good, silly popcorn fun — with a couple of scenes at the end (stay put during the first half of the credits) indicating even better times ahead."
Rafer Guzman,Newsday,2/4,rotten,An overloaded and underwhelming sequel -- and there might be two more chapters to go.
Richard Roeper,Chicago Sun-Times,2/4,rotten,"You can’t help but laugh at the sheer audacity of the filmmakers. Give ‘em this much, they’re wholly embracing the madness."
Brian Lowry,CNN.com,NA,rotten,"There’s still ample gas left in that tank, commercially speaking. It’s creatively where “Fast X” feels as if it’s running on fumes."
Dan Jolin,Empire Magazine,3/5,fresh,"It's a film that somehow finds new and fabulously silly things to do with cars, while — Momoa’s questionable villain aside — being exactly what you’d expect."
Kevin Maher,Times (UK),2/5,rotten,"It’s the logical culmination of a franchise that began as lithe and nifty, slowly became bloated with its own endearing ambition, and has now succumbed to its own bloat and, like Elvis, has died on the toilet."
Ann Hornaday,Washington Post,2/4,fresh,"An overstuffed live-action cartoon whose harebrained schemes and casual, stakes-free violence create the perfect accompaniment to a bowl of Froot Loops on a Saturday morning."
Paul McGuire Grimes,Paul's Trip to the Movies,3.5/5,fresh,Fast X is everything you love about this franchise cranked up to 10.
Courtney Howard,Fresh Fiction,2/5,rotten,"Honestly, it’s a surprise Dom doesn’t actually jump a shark during the plodding, padded run time."
Carla Hay,Culture Mix,NA,rotten,"Fast X is the cinematic equivalent of a multi-car crash pileup. It's a huge downgrade for the franchise, which is a bloated mishmash of Oscar-winning stars and less-talented cast members saying a lot of awful dialogue while dodging guns and explosions."
Mick LaSalle,San Francisco Chronicle,3/4,fresh,"The best “Fast & Furious” movies don’t take themselves seriously. They pretend to take themselves seriously, but in a way that we know that they know they’re pretending, and we’re all in on the joke."
Brian Truitt,USA Today,2.5/4,rotten,"Much of the spectacle in this 10th film rehashes bonkers situations and scenes done before (and better), a running theme that also pervades much of the narrative."
William Bibbiani,TheWrap,NA,fresh,"'F9' made a convincing case for letting this whole 'Fast and Furious' series finally end. But just when you thought it was okay to check out, 'Fast X' pulls you back in."
Kirsten Acuna,Insider,B-,fresh,"""Fast X"" plays like an ""Infinity War'' wannabe, right down to its massive surprise ending and purple-clothed antagonist."
Ray Greene,AV Club,B-,fresh,"Diesel believes in Dom so hard that for two hours and 10 minutes, he makes you believe in him too."
Aaron White,Feelin' Film Podcast,3/5,fresh,"Absolutely UNHINGED. Momoa is worth the ticket, hamming it up as a maniacal antagonist hellbent on revenge and causing suffering, too, while the series abandons all seriousness, becoming fully self-aware & inviting you to laugh not just with it, but at it"
Molly Freeman,Screen Rant,3/5,fresh,"Fast X is a breathless thrill ride that occasionally gets bogged down in melodramatic dialogue, but Jason Momoa's villain makes it a blast to watch."
Jude Dry,indieWire,C+,rotten,"[It's] engaging in the oldest trick in the book, using flamboyance (read: queerness) to signal evil. Pitted against the raging paternalism of Dom Toretto’s singular guiding purpose to protect his family at all costs, the moral edict is crystal clear."
Spencer Perry,ComicBook.com,2.5/5,rotten,"Fast X has fundamentally dropped the ball in terms of what made it so special from other franchises. Even if Fast X appears to have lost some of its identity, it's promising us at least a movie where Jason Momoa is running around like an unhinged goblin."
Tom Jorgensen,IGN Movies,5/10,rotten,"An underwhelming lead-up to the series finale, Fast X's only real redeeming quality is Jason Momoa's bonkers performance as the villain."
Alonso Duralde,The Film Verdict,NA,fresh,"Leterrier and company understand that they have been freed of such constraints, offering up a live-action cartoon that doesn’t have to make rational or spatial sense as long as there’s emotion and excitement, two elements Fast X has by the tankful."
Matt Lynch,In Review Online,NA,rotten,It’s obviously a fool’s errand to ding the Fast & Furious movies for being too silly or too underwritten. The problem is that underwritten stupidity would be just fine if there was anything the least bit thrilling otherwise going on.
Barry Hertz,Globe and Mail,NA,fresh,"An F&F movie that is both a one-upped continuation of the franchise and a deeply affectionate, powerfully weird tribute to the series itself."
Matthew Turner,Action Reloaded,4/5,fresh,"Jason Momoa proves an inspired choice as Dante, and he throws himself into the role with great gusto, clearly enjoying every second of it."
Neil Smith,Total Film,4/5,fresh,A sequel both outrageously entertaining and entertainingly outrageous.
Sean P. Means,The Movie Cricket,2.5/4,rotten,"Even by the franchise’s harebrained standards — a submarine in “The Fate of the Furious,” space travel in “F9: The Fast Saga” — the newest installment, “Fast X,” sets a new standard for automotive silliness."
Grace Randolph,Beyond the Trailer,NA,fresh,"Surprisingly good, the best movie in this franchise since Furious 7.  After some subpar and downright bad entries, Jason Momoa & Louis Leterrier bring a jolt of energy to this latest installment. A very expensive Saturday Morning Cartoon for all ages!"
Clarisse Loughrey,Independent (UK),4/5,fresh,Fast & Furious isn’t merely an action series – it’s Twin Peaks if David Lynch had guzzled nitromethane before calling action.
Kevin Fox Jr.,Paste Magazine,6.1/10,rotten,"Your mileage will vary greatly depending on your personal appetite for sequel sludge, but if you’re the sort of person considering watching a Fast & Furious movie, you’re probably the sort of person that will enjoy it."
Hoai-Tran Bui,Inverse,NA,rotten,"A ludicrous, patchwork blockbuster that strains the limits of even Fast & Furious reality. It only took us 10 movies, but Fast & Furious has become a parody of itself."
Dominic Griffin,Looper.com,NA,rotten,"The film is disappointing enough that the idea of adding an extra feature film into the mix feels not only ill-advised, but borderline insulting."
Nikki Baughan,Screen International,NA,fresh,What does come as a surprise is just how fun this well-trodden formula can be; particularly when framed as a fan-friendly trip down memory lane...
Sherin Nicole,Geek Girl Riot,NA,fresh,"It’s been 22 years since we started living life a quarter mile at a time. Over two decades we haven’t wanted to stop once. From then until today, we ride with our hands on the wheel, our hearts on the ceiling, and our fears on the floor."
Adrian Ruiz,But Why Tho? A Geek Community,8.5/10,fresh,"In all, director Louis Leterrier steers the franchise back to its roots as it rediscovers the balance between fantastical and family. Despite a few missed opportunities, Fast X still manages to deliver an entertaining and nostalgic experience..."
Nate Adams,The Only Critic,D+,rotten,"The laws of physics and gravity notwithstanding, “Fast X” is just a tireless exercise in Diesel trying to deliver lines of emotional dialogue while people scream into walkie talkies and blow things up. Stick a fork in it please."
Christie Cronan,Raising Whasians,6/10,fresh,Two words: testosterone drive. Fast X is like a bad car accident and a tabloid combined. We just can't get enough of a movie with little to no plot that's basically just one messy pileup. Momoa's performance saves the film.
Frank Scheck,Hollywood Reporter,NA,fresh,What saves Fast X is that it’s so aware of its own absurdity that it becomes an entertaining parody of itself.
Peter Martin,DallasFilmNow.com,NA,rotten,"More does not always mean better, as painfully demonstrated in Fast X."
Cameron Frew,Dexerto,3/5,fresh,"Fast and Furious 10 is a low-tier entry, but when it’s this knowingly preposterous and corny, it’s impossible to hate."
Germain Lussier,io9.com,NA,rotten,"After a promising start, Fast X devolves into a jumbled, uneven, nonsensical story that patches its problems with big explosions."
Scott Tobias,Guardian,3/5,fresh,"Fast X has enough joyful self-awareness that resistance becomes futile. At a certain point, it feels better to give in and smile."
Ross Bonaime,Collider,B-,fresh,"For all its flaws, Fast X is still an absurdly fun time at the movies that is ridiculous and charming in all the right ways, even at its worst."
Edward Douglas,The Weekend Warrior,6.5/10,fresh,It certainly will be interesting to see whether the fans appreciate this tenth installment more than I did.
Matt Singer,ScreenCrush,3/10,rotten,"For the first time in the franchise’s history, there isn’t a single sequence that outdoes what has come before."
Todd McCarthy,Deadline Hollywood Daily,NA,fresh,"With its seemingly inexhaustible supply of madly amusing action, this high-octane extravaganza attempts, and not infrequently succeeds, in obliterating any resistance with its disarming, outrageous and self-aware injections of often-hilarious camp."
Simon Thompson,The Playlist,B-,fresh,"Even though it is Vin Diesel’s at the top of this franchise’s Totem Pole, “Fast X” is Momoa’s movie. He is a revelationary riot."
Nick Schager,The Daily Beast,NA,rotten,"No matter which cliché you choose—the series is running out of gas/spinning its wheels/stuck in neutral—Dom and company’s latest exploits are perhaps their most exhaustingly “extreme” to date, not to mention their dimmest."
Ethan Anderton,Slashfilm,8/10,fresh,"""Fast X"" is packed with all of the unbelievable, high-octane action you've come to expect and love, but it is Jason Momoa's bad guy Dante who truly makes this a must-see blockbuster."
Aaron Neuwirth,We Live Entertainment,7/10,fresh,"Fast X is a massive movie with many moving parts and a villain who will easily become iconic for fans of the series. And here's the other thing – as ridiculous as this film is, it feels very thought out."
Peter Debruge,Variety,NA,rotten,"“X” marks the spot where the property’s most dependable director, Justin Lin, called it quits. You may be tempted to do the same."
Brian Lloyd,entertainment.ie,2/5,rotten,"'Fast X' just drives at full revs, burning out the engine entirely and leaving audiences trying to catch a glimpse of it all as it whizzes past us."
Casey Chong,Casey's Movie Mania,2.5/5,rotten,"Even with Jason Momoa’s scene-stealing performance and some worthwhile moments, I’m not sure how much gas they have left to (forcefully) stretch this into a trilogy."
Ian Sandwell,Digital Spy,3/5,fresh,"An overstuffed blockbuster that doesn't satisfy as a complete whole, but works as another ride that's often ludicrously entertaining and elevated by the best villain in the series."
Joey Morona,Cleveland Plain Dealer,NA,fresh,"A hell of a thrill ride, with insane action, an unhinged villain and a jaw-dropping ending."
Matt Rodriguez,Shakefire,2.5/5,rotten,Jason Momoa is the best thing about Fast X and quite possibly the entire franchise. He is that entertaining. It's a shame that can't be said about the rest of the film.
David Gonzalez,The Cinematic Reel,3/5,fresh,"Fast X will not bring new fans into the fold.However, Fast X does its best to get faith back to those who felt the tires were coming off this car. If you’ve suspended your disbelief for 20 years,prepare for even more nonsensical summer blockbuster action."
Jon Negroni,InBetweenDrafts,7.5/10,fresh,"Fast X marks a true first for this saga, in that it actually teases a satisfying exit ramp."
Greg Nussen,Slant Magazine,1.5/4,rotten,"Being as this is the first of a possibly three-part finale, Fast X’s sense of fun is constantly deflated by all the table-setting."
Eric Eisenberg,CinemaBlend,3.5/5,fresh,"Jason Momoa not only wins you over with his psychotic, merciless, and cartoony antics, but provides a breath of fresh air into a blockbuster series that has grown stale in the last few years."
Roger Moore,Movie Nation,1.5/4,rotten,"Jason Momoa IS ""The Greatest Showman!"" ...But let's not mince words. ""Fast X"" is a stunningly stupid movie"
Matt Oakes,Silver Screen Riot,D+,rotten,"Death has been tamed in the realm of the Fast and the Furious, a universe where mortality is less of a concrete reality and more of a minor inconvenience."
Jim Schembri,jimschembri.com,3.5/5,fresh,"It matters that family values are at the core of the film – though not as much as all the marvellously over-the-top vehicular mayhem in which cars and trucks are flipped, tumbled, totalled and detonated with a flair and grace that is borderline balletic."
Kaely Monahan,Arizona Republic,3.5/5,fresh,The only redeeming quality is Momoa’s Dante. Momoa brings a streak of levity in an otherwise ponderous film that oozes masculine machismo and fossil fuels.
